mag,location,name,date,time,lat,lon,ref,img,url
8.6,"Northern Sumatra, Indonesia",Nias Earthquake,28-03-2005,16:10,"2,09Â°N","97,11Â°E",NEIC,https://static1.squarespace.com/static/53e8c019e4b0e71a10da0a32/54c91a85e4b0c5c030d94778/54c91b37e4b05d3d3a1f1e85/1422543809509/BandaAcehFinal02.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official20050328160936530_30
8.6,"Andreanof Islands, Aleutian Islands, Alaska",,09-03-1957,14:23,"51,50Â°N","175,63Â°W","Johnson et al., 1994",https://secure-images.rarenewspapers.com/ebayimgs/4.42.2009/image042.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19570309142233_30
8.6,South of Alaska,Unimak Island Earthquake,01-04-1946,12:29,"53,49Â°N","162,83Â°W",Lopez & Okal. 2006,https://www.wsspc.org/wp-content/uploads/2014/04/HiloPier_CreditNOAAretouched.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19460401122901_30
8.5,Banda Sea,,01-02-1938,19:04,"5,05Â°S","131,61Â°E","Okal & Reymond, 2003",https://cdn.cnn.com/cnnnext/dam/assets/150426160502-05-deadliest-earthquakes-0426-super-169.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19380201190422_30#executive
8.5,"Atacama, Chile",Chile-Argentina Border,11-11-1922,4:33,"28,29Â°S","69,85Â°W","Kanamori, 1977",https://pbs.twimg.com/media/DOQtvoOXkAEC7QW.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19221111043251_30
8.5,Kuril Islands,,13-10-1963,5:18,"44,87Â°N","149,48Â°E","Kanamori & Anderson, 1975",https://i.ytimg.com/vi/DEPxMr6y9ec/maxresdefault.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19631013051759_30
8.4,"Near the East Coast of Kamchatka Peninsula, Russia","Kamchatka, Russia",03-02-1923,16:02,"54,49Â°N","160,47Â°E",Okal. 1992,https://i.pinimg.com/originals/3b/86/15/3b861575062fb6b588927f0eff2bc334.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official19230203160150_30
8.4,"Southern Sumatra, Indonesia",,12-09-2007,11:10,"4,44Â°S","101,37Â°E",NEIC,https://raw.githubusercontent.com/masayado/Clase_10/master/featurep3_Page_1_Image_0003_Page_1_Image_0001.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official20070912111026830_34
8.4,Near the Coast of Southern Peru,Arequipa Earthquake,23-06-2001,20:33,"16,27Â°S","73,64Â°W","Duputel et al., 2012",https://cdne.diariocorreo.pe/thumbs/uploads/articles/images/arequipa-cronica-del-terremoto_eZatmoK-jpg_976x0.jpg,https://earthquake.usgs.gov/earthquakes/eventpage/official20010623203314130_33
8.4,"Off the East Coast of Honshu, Japan",Sanriku,02-03-1933,17:31,"39,21Â°N","144,59Â°E","Kanamori, 1971",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0WYWR-UjsQYhhVi_TDoSDA9md4TgpRdeIBOadumUjkvpruvLZQQ,https://earthquake.usgs.gov/earthquakes/eventpage/official19330302173100_30
